frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1259.0,21.018363939899835,0.0009593935829033296,932:869,975:970,616:495:614:282:916:279:917:493,0.4024994463515049,0.04151048174371801:-0.7914757739830623:-0.0001388310426210038
1260.0,21.035058430717864,0.0009593935829033296,953:857,1005:953,616:495:614:282:916:279:918:493,0.4964227534048819,-0.04178814382896002:-0.5832292100513672:0.08315979453005704
1261.0,21.051752921535893,0.0009593935829033296,973:845,1032:936,616:495:614:282:916:279:918:493,0.5752155767352788,-0.04178814382896002:-0.5832292100513672:0.08315979453005704
1262.0,21.068447412353922,0.0009593935829033296,992:831,1058:919,616:495:614:282:916:279:918:493,0.6435011087932844,-0.0001388310426210038:-0.45828127169235017:0.08315979453005704
1263.0,21.085141903171955,0.0009593935829033296,1007:819,1079:902,616:495:614:282:916:279:918:493,0.7145492038528386,0.08315979453005704:-0.45828127169235017:-0.0001388310426210038
1264.0,21.101836393989984,0.0009593935829033296,1020:806,1097:886,616:496:614:282:916:279:918:493,0.7662922082790075,0.08315979453005704:-0.45828127169235017:-0.0001388310426210038
1265.0,21.118530884808013,0.0009593935829033296,1031:795,1112:870,616:496:614:282:916:279:918:493,0.8238407534186363,0.08315979453005704:-0.45828127169235017:-0.0001388310426210038
1266.0,21.135225375626042,0.0009593935829033296,1040:784,1125:856,616:496:614:282:916:279:918:493,0.8680122472060943,0.08315979453005704:-0.45828127169235017:-0.0001388310426210038
1267.0,21.151919866444075,0.0009593935829033296,1047:776,1134:844,616:495:614:282:919:279:921:493,0.9073703189274694,0.04151048174371801:-0.6248785228377063:-0.0001388310426210038
1268.0,21.168614357262104,0.0009593935829033296,1052:768,1141:834,616:496:614:282:918:279:920:493,0.9327103275260373,0.04151048174371801:-0.6665278356240453:-0.0001388310426210038
1269.0,21.185308848080133,0.0009593935829033296,1056:763,1145:826,616:496:614:282:918:279:920:493,0.9548112072870667,0.04151048174371801:-0.7914757739830623:-0.0001388310426210038
1270.0,21.202003338898162,0.0009593935829033296,1058:759,1148:822,616:493:616:280:920:280:920:493,0.960070362405688,0.04151048174371801:-0.7914757739830623:-0.0001388310426210038
1271.0,21.218697829716195,0.0009593935829033296,1059:758,1149:820,616:493:616:280:920:280:920:493,0.9675664738702118,0.04151048174371801:-0.9164237123420794:-0.0001388310426210038
1272.0,21.235392320534224,0.0009593935829033296,1058:759,1149:820,616:493:616:280:920:280:920:493,0.9802620830863203,-0.0001388310426210038:-1.0830209634874355:-0.0001388310426210038
1273.0,21.252086811352253,0.0009593935829033296,1056:761,1146:824,616:493:616:280:920:280:920:493,0.960070362405688,0.04151048174371801:-1.2496182146327914:-0.0001388310426210038
1274.0,21.268781302170286,0.0009593935829033296,1053:765,1142:830,615:492:615:279:919:279:919:492,0.9399987088286491,-0.0001388310426210038:-1.3329168402054696:-0.04178814382896002
1275.0,21.285475792988315,0.0009593935829033296,1049:772,1136:838,616:496:614:282:918:279:920:493,0.9218007677983957,-0.0001388310426210038:-1.4995140913508256:-0.04178814382896002
