frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1026.0,17.128547579298832,0.0009513564949536395,1070:531,1118:630,762:450:762:232:969:232:969:450,0.4514530915525543,-0.2916666666666667:-1.5833333333333333:-0.041666666666666664
1027.0,17.14524207011686,0.0009513564949536395,1026:529,1092:619,762:449:762:234:921:234:921:449,0.6327488350021832,-0.041666666666666664:-2.1666666666666665:-0.16666666666666666
1028.0,17.16193656093489,0.0009513564949536395,985:523,1058:607,1066:452:921:446:930:227:1074:232,0.7154487783566664,-0.041666666666666664:-2.1666666666666665:-0.16666666666666666
1029.0,17.178631051752923,0.0009513564949536395,944:516,1021:596,885:449:885:233:1071:233:1071:449,0.7662922082790075,0.16666666666666666:-1.7083333333333333:-0.16666666666666666
1030.0,17.195325542570952,0.0009513564949536395,904:509,980:588,851:449:851:233:1071:233:1071:449,0.7660457409819935,0.08333333333333333:-0.8333333333333334:-0.041666666666666664
1031.0,17.21202003338898,0.0009513564949536395,864:502,935:586,818:449:818:233:1071:233:1071:449,0.7017230287300521,-0.16666666666666666:-0.625:0.08333333333333333
1032.0,17.22871452420701,0.0009513564949536395,825:495,889:584,789:449:789:233:1071:233:1071:449,0.6234308114114129,0.20833333333333334:-0.4166666666666667:0.08333333333333333
1033.0,17.245409015025043,0.0009513564949536395,787:490,835:587,763:450:763:233:1071:233:1071:450,0.45951540111535355,0.125:-0.20833333333333334:0.08333333333333333
1034.0,17.262103505843072,0.0009513564949536395,757:484,787:587,760:449:760:233:1070:233:1070:449,0.2834212531480521,0.125:-0.20833333333333334:0.08333333333333333
1035.0,17.2787979966611,0.0009513564949536395,720:480,730:587,762:449:762:233:1071:233:1071:449,0.09318726176887912,0.041666666666666664:-0.16666666666666666:0.0
1036.0,17.295492487479134,0.0009513564949536395,680:472,671:581,759:449:759:233:1070:233:1070:449,-0.08238193059169066,0.25:-0.041666666666666664:0.125
1037.0,17.312186978297163,0.0009513564949536395,632:460,611:567,760:449:760:233:1071:233:1071:449,-0.19379845306233687,0.20833333333333334:0.041666666666666664:0.125
1038.0,17.328881469115192,0.0009513564949536395,606:449,552:533,758:449:758:233:1070:233:1070:449,-0.5713374798336268,0.20833333333333334:0.041666666666666664:0.125
1039.0,17.34557595993322,0.0009513564949536395,592:424,516:496,759:449:759:233:1070:233:1070:449,-0.8124186125847132,0.25:0.08333333333333333:0.08333333333333333
1040.0,17.362270450751254,0.0009513564949536395,582:399,489:440,760:449:760:233:1070:233:1070:449,-1.155568991239665,0.375:0.125:0.041666666666666664
1041.0,17.378964941569283,0.0009513564949536395,575:372,475:385,761:449:761:233:1071:233:1071:449,-1.4415213227467536,0.375:0.2916666666666667:0.041666666666666664
1042.0,17.395659432387312,0.0009513564949536395,571:348,469:339,758:449:758:233:1070:233:1070:449,-1.6588037003226375,0.3333333333333333:0.25:0.125
1043.0,17.41235392320534,0.0009513564949536395,569:325,469:298,759:449:759:233:1070:233:1070:449,-1.8345081612571628,0.3333333333333333:0.25:0.125
1044.0,17.429048414023374,0.0009513564949536395,569:304,474:260,758:449:758:233:1070:233:1070:449,-2.0045383243889394,0.4166666666666667:0.16666666666666666:0.0
1045.0,17.445742904841403,0.0009513564949536395,570:285,480:228,761:449:761:233:1072:233:1072:449,-2.1353657204629966,0.375:0.125:0.08333333333333333
1046.0,17.462437395659432,0.0009513564949536395,571:270,489:202,760:449:760:232:1071:232:1071:449,-2.263130761467927,0.25:-0.375:-0.041666666666666664
