frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1544.0,25.776293823038397,0.0009580615166944796,1059:925,1009:833,825:433:519:414:533:197:838:216,0.4978223326170012,0.0072394336207816535:0.9653997657830297:-0.12051527733418474
1545.0,25.792988313856426,0.0009580615166944796,1057:921,1008:823,824:433:519:414:533:197:838:216,0.4636476090008061,0.0072394336207816535:0.9653997657830297:-0.12051527733418474
1546.0,25.80968280467446,0.0009580615166944796,1058:915,1008:816,824:433:519:414:533:197:838:216,0.46767984521189954,-0.024699244117959946:0.9653997657830297:-0.056637921856701544
1547.0,25.826377295492488,0.0009580615166944796,1059:908,1007:808,824:433:519:414:533:197:838:216,0.4795192919925962,0.0072394336207816535:0.9973384435217713:-0.024699244117959946
1548.0,25.843071786310517,0.0009580615166944796,1058:901,1006:799,824:433:519:414:533:197:838:216,0.47145995006090724,0.03917811135952325:0.9973384435217713:-0.056637921856701544
1549.0,25.85976627712855,0.0009580615166944796,1055:893,1009:794,824:433:519:414:533:197:838:216,0.43496695104557986,0.10305546683700645:1.0612157989992543:-0.08857659959544315
1550.0,25.87646076794658,0.0009580615166944796,1050:884,1004:779,824:433:519:414:533:197:838:216,0.41290994205534587,0.10305546683700645:1.1250931544767375:-0.18439263281166796
1551.0,25.893155258764608,0.0009580615166944796,1043:875,1001:770,824:433:519:414:533:197:838:216,0.3805063771123649,0.07111678909826485:1.1570318322154791:-0.24826998828915114
1552.0,25.909849749582637,0.0009580615166944796,1035:866,997:761,824:433:519:414:533:197:838:216,0.3472407828961109,0.03917811135952325:1.1570318322154791:-0.28020866602789274
1553.0,25.92654424040067,0.0009580615166944796,1026:855,991:751,824:433:519:414:533:197:838:216,0.32463239079915357,0.0072394336207816535:1.093154476737996:-0.3440860215053759
1554.0,25.9432387312187,0.0009580615166944796,1023:843,983:742,824:433:519:413:533:196:838:216,0.37708758701337325,0.0072394336207816535:1.0292771212605127:-0.3440860215053759
1555.0,25.959933222036728,0.0009580615166944796,1012:833,973:731,824:433:519:414:533:197:838:216,0.36520144978817304,0.0072394336207816535:1.0292771212605127:-0.3440860215053759
1556.0,25.976627712854757,0.0009580615166944796,998:822,960:721,824:433:519:412:533:195:839:216,0.35985526854376326,0.0072394336207816535:1.0292771212605127:-0.3440860215053759
1557.0,25.99332220367279,0.0009580615166944796,984:811,946:710,824:433:519:412:533:196:839:216,0.35985526854376326,-0.024699244117959946:1.0292771212605127:-0.21633131055040955
1558.0,26.01001669449082,0.0009580615166944796,966:802,930:700,824:433:519:412:533:196:839:216,0.3392926144540447,-0.024699244117959946:1.0292771212605127:-0.21633131055040955
1559.0,26.026711185308848,0.0009580615166944796,948:794,914:689,824:433:519:412:534:196:839:216,0.3131547775706915,0.0072394336207816535:1.093154476737996:-0.18439263281166796
