time,m_per_pixel,g_center,r_center,rect_points,angle
2.7666666666666666,0.001001606171152722,428:488,319:431,512:508:481:300:776:257:806:465,-117.60667785308797
2.783333333333333,0.001001606171152722,424:496,313:443,513:508:482:300:776:257:806:465,-115.523424501068
2.8,0.001001606171152722,420:506,307:458,513:507:483:299:776:257:806:465,-113.01475441878998
2.816666666666667,0.001001606171152722,416:519,299:478,513:508:482:300:776:257:806:465,-109.31185656435267
2.8333333333333335,0.001001606171152722,412:535,292:500,513:508:482:300:776:257:806:465,-106.26020470831196
2.85,0.001001606171152722,407:553,286:526,513:508:482:300:776:257:806:465,-102.57893523749306
2.8666666666666667,0.001001606171152722,404:573,282:556,513:508:483:300:776:257:806:465,-97.93275831417206
2.8833333333333333,0.001001606171152722,403:595,280:592,513:508:483:300:776:257:806:465,-91.39718102729638
2.9,0.001001606171152722,404:621,279:629,513:508:483:300:776:257:806:465,-86.3380644244802
2.9166666666666665,0.0010022358049244081,408:649,283:667,513:507:483:300:776:257:806:465,-81.80573666536979
2.933333333333333,0.0010022358049244081,415:677,294:710,513:507:483:299:776:257:806:465,-74.74488129694222
2.95,0.0010022358049244081,427:708,309:755,513:508:483:299:776:257:806:465,-68.28235621348973
2.966666666666667,0.0010022358049244081,443:739,332:800,513:507:483:299:776:257:806:465,-61.20902492780798
2.9833333333333334,0.0010022358049244081,464:769,362:844,513:508:482:300:776:257:806:465,-53.67317404787977
3.0,0.0010022358049244081,491:796,400:886,513:507:483:299:776:257:806:465,-45.31654804727301
3.0166666666666666,0.001001606171152722,522:822,448:926,513:508:483:299:776:257:806:465,-35.433314010285585
3.033333333333333,0.001001606171152722,555:840,498:955,513:507:483:299:776:257:806:465,-26.36541512255361
3.05,0.001001606171152722,595:855,556:978,513:508:483:300:776:257:806:465,-17.5924245621816
3.066666666666667,0.001001606171152722,639:865,620:993,513:507:483:299:776:257:806:465,-8.443190929176634
3.0833333333333335,0.001001606171152722,684:867,687:997,513:508:483:300:776:257:806:465,1.3219756595369827
3.1,0.001001606171152722,728:861,752:989,513:507:483:299:776:257:806:465,10.619655276155134
3.1166666666666667,0.001001606171152722,772:849,817:970,513:508:483:300:776:257:806:465,20.400209394842538
3.1333333333333333,0.001001606171152722,813:828,874:943,513:507:483:299:776:257:806:465,27.943034423382937
3.15,0.001001606171152722,846:806,927:907,513:507:483:299:776:257:806:465,38.72892255049885
3.1666666666666665,0.001001606171152722,875:778,970:869,513:507:483:299:776:257:806:465,46.23197740263973
3.183333333333333,0.001001606171152722,899:748,1005:825,513:507:483:299:776:257:806:465,54.0047791252773
3.2,0.001001606171152722,917:716,1033:778,513:507:483:299:776:257:806:465,61.87626461671118
3.216666666666667,0.001001606171152722,930:684,1053:731,513:507:483:299:776:257:806:465,69.0874523086323
3.2333333333333334,0.001001606171152722,938:654,1065:686,513:507:482:300:776:257:806:464,75.85765335796732
3.25,0.001001606171152722,943:626,1072:644,513:508:482:300:776:257:806:464,82.05652818940959
3.2666666666666666,0.001001606171152722,945:601,1075:611,513:507:483:299:776:257:806:465,85.60129464500447
3.283333333333333,0.001001606171152722,944:578,1074:576,513:507:483:299:776:257:806:465,90.88140399658214
3.3,0.001001606171152722,942:558,1071:547,513:507:483:299:776:257:806:465,94.87389642220477
3.316666666666667,0.001001606171152722,939:541,1067:521,513:507:483:299:776:257:806:465,98.88065915052024
3.3333333333333335,0.001001606171152722,935:527,1063:499,513:507:482:300:776:257:806:465,102.3390872783262
3.35,0.001001606171152722,932:515,1058:482,513:508:482:300:776:257:806:465,104.67639313745002
3.3666666666666667,0.001001606171152722,929:506,1054:470,513:508:482:300:776:257:806:465,106.06640053519666
3.3833333333333333,0.001001606171152722,926:499,1050:459,513:508:483:300:776:257:806:465,107.87869659584133
3.4,0.001001606171152722,923:495,1047:454,513:508:483:300:776:257:806:465,108.29621839303441
3.4166666666666665,0.001001606171152722,922:492,1046:450,513:508:483:300:776:257:806:465,108.71173787509977
3.433333333333333,0.001001606171152722,922:492,1046:450,513:508:482:300:775:257:806:465,108.71173787509977
3.45,0.001001606171152722,923:494,1047:453,513:508:483:300:776:257:806:465,108.29621839303441
3.466666666666667,0.001001606171152722,924:498,1050:460,513:508:483:300:776:257:806:465,106.78264414527071
3.4833333333333334,0.001001606171152722,927:504,1054:469,513:508:483:300:776:257:806:465,105.40770364064203
3.5,0.001001606171152722,930:513,1058:481,513:508:483:300:776:257:806:465,104.03624346792648
3.5166666666666666,0.001001606171152722,933:524,1063:496,513:508:483:300:776:257:806:465,102.15494169722223
3.533333333333333,0.001001606171152722,937:538,1068:517,513:508:483:300:776:257:806:465,99.10733431225441
3.55,0.001001606171152722,940:553,1073:540,513:508:483:300:776:257:806:465,95.58260575653108
3.566666666666667,0.001001606171152722,943:572,1076:566,513:508:483:300:776:257:806:465,92.58302066863506
3.5833333333333335,0.001001606171152722,945:592,1077:598,513:508:483:300:776:257:806:465,87.39743779750019
3.6,0.001001606171152722,944:616,1076:628,513:508:483:300:776:257:806:465,84.8055710922652
3.6166666666666667,0.001001606171152722,941:643,1071:669,513:508:483:300:776:257:806:465,78.69006752597979
3.6333333333333333,0.001001606171152722,934:671,1063:708,513:508:483:300:776:257:806:465,73.9959595141184
3.65,0.001001606171152722,924:700,1048:752,513:508:483:300:776:257:806:465,67.24902365721238
3.6666666666666665,0.001001606171152722,909:731,1026:796,513:508:483:300:776:257:806:465,60.94539590092286
3.683333333333333,0.001001606171152722,890:761,998:840,513:508:483:300:776:257:806:465,53.81522102322316
3.7,0.001001606171152722,864:789,963:879,513:508:483:300:776:257:806:465,47.72631099390627
3.716666666666667,0.001001606171152722,834:815,920:915,513:508:483:300:776:257:806:465,40.69553103949202
3.7333333333333334,0.0010016308552390704,800:837,869:948,513:508:483:300:776:257:806:465,31.86597769360368
3.75,0.001001655539325419,763:852,814:973,513:508:483:300:776:257:806:465,22.854819961776716
3.7666666666666666,0.0010022604890107566,721:863,752:990,513:508:483:300:776:257:806:465,13.717346318360326
3.783333333333333,0.0010028654386960943,677:867,687:997,513:508:483:300:776:257:806:465,4.398705354995532
3.8,0.0010028654386960943,635:864,623:993,513:507:483:299:776:257:806:465,-5.31454566994475
3.816666666666667,0.0010028654386960943,592:854,561:979,513:508:483:300:776:257:806:465,-13.92834193915369
3.8333333333333335,0.0010028654386960943,555:840,503:956,513:508:483:300:776:257:806:465,-24.145541960421653
3.85,0.0010028654386960943,521:821,452:926,513:508:483:300:776:257:806:465,-33.31063082456081
3.8666666666666667,0.0010028654386960943,491:797,407:889,513:507:483:300:776:257:806:465,-42.397437797500196
3.8833333333333333,0.0010028654386960943,465:770,369:849,513:507:483:300:776:257:806:465,-50.54846629371807
3.9,0.0010028654386960943,445:742,340:807,513:507:483:300:776:257:806:465,-58.240519915187214
3.9166666666666665,0.0010028654386960943,430:713,317:763,513:507:483:299:776:257:806:465,-66.13166998669264
3.933333333333333,0.0010028654386960943,418:685,301:722,513:507:483:299:776:257:806:465,-72.45099777093223
3.95,0.0010028654386960943,411:658,291:683,513:507:483:299:776:257:806:465,-78.23171106797936
3.966666666666667,0.0010028654386960943,406:634,285:647,513:507:483:300:776:257:806:465,-83.8677775023207
3.9833333333333334,0.0010028654386960943,404:611,284:615,513:508:483:300:776:257:806:465,-88.09084756700362
4.0,0.0010028654386960943,404:592,285:585,513:508:483:300:776:257:806:464,-93.3664606634298
4.016666666666667,0.0010028654386960943,405:575,286:556,513:508:482:300:775:256:806:464,-99.07149757717717
4.033333333333333,0.0010028654386960943,406:561,289:538,513:508:483:300:776:257:806:465,-101.12146019489035
4.05,0.0010028654386960943,409:549,293:520,513:508:483:300:776:257:806:465,-104.03624346792648
4.066666666666666,0.0010028654386960943,411:540,297:505,513:508:483:300:776:257:806:465,-107.0674048184644
4.083333333333333,0.0010028654386960943,413:533,299:498,513:508:482:300:776:257:806:465,-107.0674048184644
4.1,0.0010028654386960943,415:529,302:490,513:508:483:300:776:257:806:464,-109.04123073843937
4.116666666666666,0.0010028654386960943,415:526,303:486,513:508:483:300:776:257:806:465,-109.6538240580533
4.133333333333334,0.0010028654386960943,416:527,303:486,513:507:483:299:776:257:806:465,-109.94238458169698
4.15,0.0010028654386960943,416:529,303:489,513:508:483:300:776:257:806:465,-109.493061911151
4.166666666666667,0.0010028654386960943,414:533,301:496,513:507:483:299:776:257:806:465,-108.13018691250093
4.183333333333334,0.0010028654386960943,413:540,299:506,513:507:483:299:776:257:806:465,-106.60698057861701
4.2,0.0010028654386960943,411:548,296:519,513:508:483:299:776:257:806:465,-104.1534125878514
4.216666666666667,0.0010028654386960943,410:559,293:536,513:508:483:300:776:257:806:465,-101.12146019489035
4.233333333333333,0.0010028654386960943,408:573,291:555,513:508:483:300:776:257:806:465,-98.74616226255522
4.25,0.0010028654386960943,406:589,289:580,513:508:483:300:776:257:806:465,-94.39870535499554
4.266666666666667,0.0010028654386960943,406:608,288:608,513:508:483:299:776:257:806:465,-90.0
4.283333333333333,0.0010028654386960943,408:629,289:637,513:507:483:299:776:257:806:465,-86.15396990995262
4.3,0.0010028654386960943,411:651,294:671,513:508:483:300:776:257:806:465,-80.29960805605421
4.316666666666666,0.0010028654386960943,418:676,301:704,513:508:483:300:776:257:806:465,-76.54131539138498
4.333333333333333,0.0010028654386960943,426:702,314:742,513:508:483:300:776:257:806:465,-70.3461759419467
4.35,0.0010028654386960943,440:729,331:780,513:508:483:300:776:257:806:465,-64.92558065818433
